지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),평균현지기압(hPa),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),합계 일조시간(hr),최심적설(cm)
90,속초,1968-01,-.7,11.4,-11.4,1018.2,47,0,2.1,218.6,
90,속초,1968-02,-2.1,9.7,-9.9,1022.8,51,3.3,2.2,236.5,1.8
90,속초,1968-03,5.9,20.5,-3.2,1016.1,57,8.8,2.1,223.7,0
90,속초,1968-04,10.5,21.4,4,1019.4,63,6.9,2,255.7,
90,속초,1968-05,14.6,24.5,9.3,1011.7,74,49.1,2.2,187.8,
90,속초,1968-06,18.5,29.2,11.4,1009.1,82,48.3,1.9,182.2,
90,속초,1968-07,22.8,35.8,17.1,1005.7,87,304.7,1.6,117.4,
90,속초,1968-08,23.3,31.9,16.6,1007.5,84,299.8,1.8,148.3,
90,속초,1968-09,19.9,27.1,11,1016,79,113.7,2,194.7,
90,속초,1968-10,13.3,23.3,6.9,1019.1,75,342.1,2.7,159.3,
90,속초,1968-11,9.5,20.8,-5.4,1020.8,64,24.5,2.6,182.8,
90,속초,1968-12,5,16.7,-6.8,1019.8,67,60.8,2.8,138.6,18.4
90,속초,1969-01,-.9,10.4,-12.2,1020.3,60,112.6,3.7,161.6,54.1
90,속초,1969-02,-1,13.5,-11.1,1023.5,63,139.1,2.4,123.4,123.8
90,속초,1969-03,3.5,21.6,-6.1,1020.3,58,77.5,2.8,210.6,76.4
90,속초,1969-04,10.7,26.6,-.8,1015.1,66,254.3,2.2,184.5,5.5
90,속초,1969-05,16.3,28.4,9.1,1007.9,69,112.3,2.3,186.5,
90,속초,1969-06,19.6,29.9,9,1006.3,72,59.6,1.9,178.6,
90,속초,1969-07,23.3,32.4,15.8,1007.9,80,219,1.7,107.1,
90,속초,1969-08,24.8,33.8,18.6,1007,78,236.4,1.7,174.2,
90,속초,1969-09,19.6,29.1,13.7,1015.3,83,104.2,1.4,115.9,
90,속초,1969-10,14.6,25.4,5.8,1018.7,65,3,2,221.9,
90,속초,1969-11,7.6,20.4,-3.1,1021.7,52,48.9,2.4,182.6,
90,속초,1969-12,1,12.8,-10.6,1022.3,45,23.2,3.8,189.9,.5
90,속초,1970-01,-1.4,9.6,-15.6,1019.8,52,22.8,3.7,218.6,32.7
90,속초,1970-02,1.8,16.6,-8.4,1017.5,51,83.4,3.8,189.3,27.3
90,속초,1970-03,1.9,19.4,-5.7,1017,48,12.9,4.1,267.2,18.8
90,속초,1970-04,10.2,21,2.6,1015.9,65,.2,3.2,195.3,
90,속초,1970-05,16.5,30,9.2,1007.7,69,61.4,3.7,183.6,
90,속초,1970-06,18.6,27.8,10.6,1007.4,79,76.9,2.7,188.7,
90,속초,1970-07,22.2,35.2,12.7,1001.9,82,503.9,3.2,138.3,
90,속초,1970-08,23.4,32.4,19.2,1007.1,88,200.7,2.6,85.2,
90,속초,1970-09,20.4,29.9,11,1009.5,79,306.4,2.8,145.1,
90,속초,1970-10,15,23.4,4.1,1016.6,71,44.1,2.8,206.1,
90,속초,1970-11,8.1,20.5,-8.7,1017.8,55,35.4,3.8,207.5,
90,속초,1970-12,2,16.6,-7.8,1017.7,47,14.2,4.5,205.7,
90,속초,1971-01,-.1,10.4,-9.8,1018.3,57,57.4,4.1,176.6,25.4
90,속초,1971-02,.1,7.9,-10.1,1018.4,64,38.9,3.5,201.9,8.7
90,속초,1971-03,3.9,23,-7.7,1016,56,57.6,4.1,246.3,16.8
90,속초,1971-04,11.2,26.4,2.5,1012.9,56,40.2,4.2,227.8,
90,속초,1971-05,16.4,31.3,4.8,1007.6,65,82.7,4.3,227.9,
90,속초,1971-06,19.3,30.5,11.7,1004,82,70.2,3.3,151.6,
90,속초,1971-07,23.7,34.5,17.6,1001.2,78,125.8,2.9,98.7,
90,속초,1971-08,22.6,35.4,16.8,1005.7,84,469.5,3.1,133.4,
90,속초,1971-09,18.9,25.2,11.9,1010,79,255,2.6,134.8,
90,속초,1971-10,14.3,23.4,5,1016.6,60,19.7,3.3,235.9,
90,속초,1971-11,10.6,23.9,-5.4,1019.4,56,8.4,3.7,209.8,
90,속초,1971-12,2.6,13,-5.4,1018.2,41,13.8,3.7,208.8,.7
90,속초,1972-01,1.8,9.8,-5.6,1021.1,69,154,2.7,121.8,44.2
