"성씨, 본관별","행정구역별(시군구)",2015
"계","전국",49705663
"계","서울특별시",9567196
"계","부산광역시",3404667
"계","대구광역시",2436770
"계","인천광역시",2822601
"계","광주광역시",1481289
"계","대전광역시",1519314
"계","울산광역시",1136755
"계","세종특별자치시",199617
"계","경기도",12026429
"계","강원도",1499734
"계","충청북도",1548589
"계","충청남도",2036720
"계","전라북도",1804184
"계","전라남도",1764433
"계","경상북도",2622729
"계","경상남도",3244163
"계","제주특별자치도",590473
"가(賈)","전국",9936
"가(賈)","서울특별시",1606
"가(賈)","부산광역시",118
"가(賈)","대구광역시",46
"가(賈)","인천광역시",1349
"가(賈)","광주광역시",21
"가(賈)","대전광역시",463
"가(賈)","울산광역시",50
"가(賈)","세종특별자치시",26
"가(賈)","경기도",2649
"가(賈)","강원도",136
"가(賈)","충청북도",164
"가(賈)","충청남도",2951
"가(賈)","전라북도",88
"가(賈)","전라남도",48
"가(賈)","경상북도",85
"가(賈)","경상남도",108
"가(賈)","제주특별자치도",28
"간(簡)","전국",2520
"간(簡)","서울특별시",569
"간(簡)","부산광역시",50
"간(簡)","대구광역시",23
"간(簡)","인천광역시",301
"간(簡)","광주광역시",6
"간(簡)","대전광역시",49
"간(簡)","울산광역시",50
"간(簡)","세종특별자치시",10
"간(簡)","경기도",1041
"간(簡)","강원도",152
"간(簡)","충청북도",82
"간(簡)","충청남도",75
"간(簡)","전라북도",28
"간(簡)","전라남도",11
"간(簡)","경상북도",42
"간(簡)","경상남도",28
"갈(葛)","전국",2086
"갈(葛)","서울특별시",373
"갈(葛)","부산광역시",192
"갈(葛)","대구광역시",114
"갈(葛)","인천광역시",133
"갈(葛)","광주광역시",17
"갈(葛)","대전광역시",75
"갈(葛)","울산광역시",67
"갈(葛)","경기도",512
"갈(葛)","강원도",62
"갈(葛)","충청북도",60
"갈(葛)","충청남도",87
"갈(葛)","전라북도",54
"갈(葛)","전라남도",19
"갈(葛)","경상북도",79
"갈(葛)","경상남도",234
"갈(葛)","제주특별자치도",5
"감(甘)","전국",6024
"감(甘)","서울특별시",754
"감(甘)","부산광역시",1180
"감(甘)","대구광역시",280
"감(甘)","인천광역시",144
"감(甘)","광주광역시",66
"감(甘)","대전광역시",97
"감(甘)","울산광역시",223
"감(甘)","세종특별자치시",8
"감(甘)","경기도",816
"감(甘)","강원도",40
"감(甘)","충청북도",72
"감(甘)","충청남도",56
"감(甘)","전라북도",38
"감(甘)","전라남도",71
"감(甘)","경상북도",208
"감(甘)","경상남도",1951
"감(甘)","제주특별자치도",20
"강(姜)","전국",1176847
"강(姜)","서울특별시",212753
"강(姜)","부산광역시",99023
"강(姜)","대구광역시",44596
"강(姜)","인천광역시",61013
"강(姜)","광주광역시",36004
"강(姜)","대전광역시",35918
"강(姜)","울산광역시",25353
"강(姜)","세종특별자치시",4485
"강(姜)","경기도",259564
"강(姜)","강원도",24621
"강(姜)","충청북도",29124
"강(姜)","충청남도",46076
"강(姜)","전라북도",47989
"강(姜)","전라남도",48718
"강(姜)","경상북도",53289
"강(姜)","경상남도",116643
"강(姜)","제주특별자치도",31678
"강(康)","전국",91625
"강(康)","서울특별시",17666
"강(康)","부산광역시",4233
"강(康)","대구광역시",2647
"강(康)","인천광역시",4781
"강(康)","광주광역시",738
"강(康)","대전광역시",3316
"강(康)","울산광역시",1303
"강(康)","세종특별자치시",934
"강(康)","경기도",20267
"강(康)","강원도",2251
"강(康)","충청북도",1998
"강(康)","충청남도",3625
"강(康)","전라북도",3545
"강(康)","전라남도",766
"강(康)","경상북도",3151
"강(康)","경상남도",2057
"강(康)","제주특별자치도",18347
"견(甄)","전국",1251
"견(甄)","서울특별시",218
"견(甄)","부산광역시",32
"견(甄)","대구광역시",32
"견(甄)","인천광역시",122
"견(甄)","대전광역시",13
"견(甄)","울산광역시",8
"견(甄)","경기도",592
"견(甄)","강원도",24
"견(甄)","충청북도",93
"견(甄)","충청남도",33
"견(甄)","전라남도",16
"견(甄)","경상북도",37
"견(甄)","경상남도",20
"견(甄)","제주특별자치도",8
"경(慶)","전국",13012
"경(慶)","서울특별시",3070
"경(慶)","부산광역시",468
"경(慶)","대구광역시",270
"경(慶)","인천광역시",828
"경(慶)","광주광역시",27
"경(慶)","대전광역시",376
"경(慶)","울산광역시",113
"경(慶)","세종특별자치시",40
"경(慶)","경기도",4342
"경(慶)","강원도",729
"경(慶)","충청북도",1336
"경(慶)","충청남도",448
"경(慶)","전라북도",103
"경(慶)","전라남도",52
"경(慶)","경상북도",215
"경(慶)","경상남도",566
